recipe_name,ingredients,calories,protein,fat,carbohydrates
petit déjeuner miel et pépites de chocolat,"Céréales 59,7 % [céréales complètes 39,6 % (farine complète de blé 19,8 %, flocons d'avoine 10,6 %, farine complète d'orge 4,9 %, farine complète de seigle 3,3 %, farine complète d'épeautre (blé) 1 %), farine de blé 20,1 %1, sucre, huile de colza, pépites de chocolat 8,5 % [sucre, pâte de cacao, huiles végétales (palme et karité en proportions variables), dextrose, beurre de cacao, émulsifiant (lécithines de soja)], miel de fleurs 5 %, sirop de glucose-fructose, minéraux (carbonate de calcium, carbonate de magnésium, fer élémentaire), poudres à lever (carbonates de sodium, diphosphates, carbonates d'ammonium), sel, émulsifiants (lécithines de soja, E472e), arôme, lait écrémé en poudre",409.0,5.7,15.0,60.0
Biscuit soja orange,"Farine de _blé_ 57,7%, sucre de canne roux, huile de colza, flocons de _soja_ 7%, germe de _blé_ 5,4%, oranges déshydratées 1,5%, magnésium, sucre, amidon de maïs, jus concentré de citron, émulsifiant : lécithines de colza, sel de mer, arôme naturel d'orange, calcium, poudres à lever : carbonates de sodium, vitamines (E, PP, B5, B6, B1, B9).",444.0,11.0,14.0,66.0
Sablés Anglais L'Original,"Farine (55%) (farine de blé, calcium, fer, niacine, thiamine), huile de palme, farine de blé complète (16%), sucre, poudres à lever (carbonates de sodium, acide malique, carbonates d'ammonium), sirop de sucre inverti, sel.

Peut aussi contenir du lait.",483.0,7.0,21.3,63.6
P'tit Nature Complet,"Farine complète de blé* 76,8%, Sucre de canne* roux, Huile de colza*, Amidon de blé*, carbonates d'ammonium, Sel marin, Arôme naturel de vanille, extraits de romarin.",416.0,7.6,10.0,70.0
Excellence Noir Corsé 78% Cacao,"Pâte de cacao, beurre de cacao, sucre, cacao maigre, beurre laitier concentré.

Peut contenir des noisettes, des amandes et d'autres fruits à coque, du lait, du soja.",576.0,10.0,46.0,24.0
Картофельные чипсы со вкусом парики,"Patatas deshidratadas, aceite de girasol, harina de _trigo_, harina de maíz, harina de arroz, condimento a base de pimentón (azúcar, pimentón en polvo, potenciadores del sabor (glutamato de monosodio, guanilato disódico, inosinato disódico), dextrosa, levadura en polvo, cebolla en polvo, sal, caldo granulado (sal, proteína vegetal hidrolizada, aceite de girasol), aromas, ajo en polvo, colorante (extracto de pimentón), acidulante (ácido cítrico), suero de leche dulce en polvo (_leche_)), maltodextrina, emulgente (E471), sal, colorante (norbixina de annato).",515.0,6.7,29.0,55.0
Brioche moins de sucre,"Farine de BLÉ 52,5%, eau, OEUFS frais 9%, huile de colza, sucre 8,5%, arôme (contient alcool), fibres (BLÉ, AVOINE), gluten de BLÉ, levure, sel, extraits végétaux à pouvoir colorant (curcuma, paprika), extrait d'acérola. Peut contenir des traces de LAIT, SOJA, FRUITS A COQUE, GRAINES DE SÉSAME.",327.0,8.4,11.0,45.1
Chocolat monogram,"Pâte de cacao, beurre et poudre de cacao, sucre, émulsifiant: lécithine de soja (E322), arôme vanille.",528.0,5.0,30.0,56.0
Lentil & Pea Veggie Cakes - Beetroot & Balsamic,"Lentil Flour 76%, Rapeseed Oil, Beetroot, Balsamic Seasoning 7.2% (Sugar, Salt, Onion, Natural Flavour, Beetroot Red 8%, Garlic, Black Pepper, Balsamic Vinegar 0.7%), Green Peas 5.7%",424.0,25.0,12.0,51.0
Fourrés Chocolat Au Lait,"Farine De Blé 39%, Chocolat Au Lait 25% Sucre De Canne Roux Non Raffiné 10%, Beurre De Cacao, Lait Entier En Poudre, Pâte De Cacao, Sucre De Canne Roux Non Raffiné 16%, Farine Complète De Blé 15%, Huile De Tournesol Oléique, Arôme Naturel De Vanille, Lait Écrémé En Poudre, Sel De Mer Non Raffiné, Poudres À Lever : Carbonates Dammonium, Carbonates De Sodium Épaississant : Gomme Dacacia Antioxydant : Extrait De Romarin.
peut Contenir Des Traces De Soja, Dœufs, De Fruits À Coque, De Graines De Sésame Et De Moutarde.",486.0,7.5,20.0,67.0
Pringles,PRINGLES ORIGINAL 40 g,534.0,5.9,31.0,56.0
Chocolate Negro,"مكونات / INGREDIENTES / INGRÉDIENTS Chocolate negro 85% cacao, Ingredientes: Pasta de cacao, cacao desgrasado en polvo, azúcar, manteca de cacao, leche en polvo, pasta de almendras y avellanas, emulgentes (lecitinas (soja, girasol)), y aroma, Cacao 85% mínimo, Puede contener trazas de otros frutos de cáscara, Conservar el producto en lugar fresco, seco y carente de olores,Temperatura óptima de conservación: 18°C, Chocolat noir 85% cacao, Ingrédients : Pâte de cacao, cacao en poudre dégraissé, sucre, beurre de cacao, lait en poudre, pâte de amandes et de noisettes, émulsifiants (lécithines (soja, toumeso!)) et arôme, Cacao 85% minimum, Peut contenir des traces d'autres fruits à coque, Conserver le produit dans endroit frais, sec et sans odeur,Température optimale de conservation: 18°C, شوكولاتة داكنة دارك % 85% كاكاو المكونات عجينة الكاكاو مسحوق الكاكاو الخالي من الدسم، زبدة الكاكاو، سكر، مسحوق الحليب عجينة اللوز و البندق مستحلبات لستين ( الصوجا، عباد الشمس)) نكهات, الكاكاو 85% الحد الأدنى في الشكولاتة, قد يحتوي على آثار فواكه جافة أخرى, يحفظ المنتج في مكان بارد وجاف وخالي من الروائح درجة حرارة التخزين المثلى: 18 درجة مئوية, Información nutricional / Information nutritionnelle / معلومات غذائية Por / Pour Por porción / % IR por 10g porción*/ 100g",569.0,14.0,47.0,17.0
180G C OR NOIR NOISETTE,"Sucre, pâte de cacao, NOISETTES (24%), beurre de cacao, BEURRE concentré, émulsifiant (lécithines de SOJA), arôme naturel de vanille, LAIT écrémé en poudre.",569.0,7.3,39.0,43.0
Tagger,"Sucre, Huiles Végétales Non-Hydrogénées (Palme, Palmiste), Farine De Blé, Cacao Maigre en Poudre, Lactosérum En Poudre, Emulsifiant (Lécithine De Soja), Poudre A Lever (Bicarbonate De Sodium), Sel. CONTIENT LAIT, BLE (GLUTEN),SOJA",535.0,3.3,29.0,64.0
Goûter 4S Saveur pommes,"Farine de blé 71,1%, huile de colza, jus de pomme concentré 9,4%, semoule de pommes séchées 4,2% (amidon de blé), extrait de malt d'orge, fibres de chicorée: fructooligosaccharides, riz, arôme naturel d'abricot avec autres arômes naturels, extrait de pomme 0,46%, arôme naturel de pomme avec autres arômes naturels, émulsifiant : lécithines, poudre à lever: carbonates de potassium, acidifiant: acide malique, avoine, protéines de lait, orge.",513.0,9.11,20.0,71.1
Wheat Biscuits,"Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Riboflavin, Thiamin, Folic Acid. Allergy Advice",358.0,12.0,2.0,68.0
