Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
لينيا,Jaouda,48.0,4.9,0.0,0.0,0.0,7.0,6111242101852,"Ingréedients: lait frais érémé,poudre de lait écrémé, amidon, ferments lactiques, édulkorants utilisés pour régime sans sucre (sucralose et acésulfame), vitamine A et D3.",N/A
Protein Cocoa Hazelnut Bar,Nakd,424.0,16.0,21.8,28.9,0.0222,49.3,5060088700105,"Dates (38%), _Peanuts_ (35%), Chicory fibre (10%), _Peanut_ flour (8%), _Hazelnuts_ (5%), Fat-reduced cocoa powder (3%), Natural flavourings.",N/A
Tesco Finest Greek Yoghurt,Tesco,132.0,6.1,10.3,3.3,0.1975,3.8,5052320269839,milk,N/A
Cocoa Orange,Nakd,394.0,8.7,16.0,43.0,0.03,51.0,5060088701447,"Dates (42%), Cashews (34%), Raisins (19%),  Cocoa (4%), natural flavouring.",N/A
Absolute black dark chocolate,Montezuma's,601.0,13.0,54.0,3.0,0.02,8.0,5060719920001,Cocoa solids 100%.,N/A
Greek style natural yogurt,Sainsbury's,103.0,4.0,7.6,4.2,0.0975,4.2,01206111,yogurt (Milk),N/A
Oat,"Aldi, Acti Leaf",49.0,0.6,2.4,2.6,0.15,6.2,4061459329834,"Water, WHOLEGRAIN _OAT_ FLAKES 10%, Rapeseed Oil, Acidity Regulator (Potassium Phosphates), Calcium Carbonate, Sea Salt, Stabiliser (Gellan Gum)",N/A
Activia Dan up ananas frez,danone,64.0,2.7,1.2,5.5,0.0,9.9,6111032009443,"حليب مقشود, مسحوق الحليب منزوع الدسم, سكر, فاكهة الأناناس, فاكهة الفراولة, ألياف غذائية, نكهة طبيعية, مثبتات, بكتيريا حمض اللاكتيك",N/A
Oat drink,plenish,33.0,0.6,0.3,3.8,0.08,6.6,5060362071709,"Water, Organic Gluten Free _Oats_ 10%, Sea salt.",N/A
Coconut milk,Blue Dragon,143.0,0.6,15.0,1.4,0.1475,2.1,5010338014339,"Coconut Extract (56%). Water, Stabiliser (E466), Emulsifier (E435), Antioxidant (Citric Acid).",N/A
Organic Almond milk,plenish,29.0,1.0,2.5,0.0,0.0975,0.5,5060362071594,"spring water, organic almonds 5%, sea salt",N/A
Ghilal,Jaouda,106.0,3.5,3.0,7.5,0.0,16.0,6111242101982,"lait  frais, crème, sucre, poudre de lait écrémé, texturants: amidon, préparation de pulpe de fruits, arômes, ferments lactiques et colorant naturel",N/A
Alpro Not Milk,Alpro,59.0,0.7,3.5,0.0,0.12,5.7,5411188134985,"HAFERBASIS(Wasser, HAFER (8,7%)), Sonnenblumenöl, Zichorienwurzelfasern, Erbsenprotein, Calciumcarbonat, Säureregulator (Kaliumphosphate), natürliche Aromen, Meersalz, Stabilisator (Gellan), Vitamine (B12, D2). Von Natur aus laktosefrei.",N/A
fromage herbes milky food,milky foof,228.0,4.8,21.0,0.0,0.0,4.0,6111246722039,"Lait de vache pasteurisé, crème fraîche pasteurisée, ferments lactiques, présure, sel, ail et fines herbes.",N/A
Cottage cheese,Longley Farm,104.0,10.3,6.0,2.1,0.8,2.2,5010578008020,"Milk, Salt 0.6%",N/A
,Hacendado,129.0,3.9,10.8,3.9,0.12,3.9,8480000205599,"whole milk, cream, skim milk powder, dairy ferments,",N/A
Kefir yogurt,Biotiful,72.0,6.0,2.0,4.8,0.05,7.4,5060337222143,"Pasteurised Cow's Milk, Live Kefir and Yogurt Cultures (Bifidobacterium, Streptococcus thermophilus, Lactobacillus bulgaricus, Lactobacillus acidophilus)",N/A
The Original Oat Drink Semi,Oatly!,46.0,1.0,1.5,4.1,0.1,6.6,7394376665028,"Water, oats 10%, rapeseed oi1, acidity regulator (dipotassium phosphate), minerals (calcium carbonate, potassium iodide), salt, vitamins (d2, riboflavin, b12).",N/A
Beurre à teneur réduite en M.G. (60%) doux,"Montfleuri, Savencia",547.0,1.0,60.0,0.8,0.05,0.8,3451790563256,"butter (eu origin) water, lactic ferments (milk) net weight: 250ge",N/A
Chocolate,Kinder,,8.7,35.0,53.5,0.3075,53.5,80177609,"_Milk_ Chocolate 40% (Sugar, Whole _Milk_ Powder, Cocoa Butter, Cocoa Mass, Emulsifier: Lecithins (_Soy_), Flavouring: Vanillin), Sugar, Skim _Milk_ Powder, Vegatable Oil (_Palm_*), Anhydrous Milkfat (_Milk_), Emulsifier (Lecithins) (_Soy_), Flavouring (Vanillin).",N/A
